year,state,voter_pct_of_total,voter_pct_of_citizen,reg_pct_of_total,reg_pct_of_citizen
1994,TN,0.431,0.435,0.638,0.644
1994,TX,0.37799999999999995,0.424,0.585,0.657
1994,UT,0.442,0.465,0.596,0.627
1994,VA,0.46299999999999997,0.484,0.607,0.634
1994,VT,0.49,0.496,0.71,0.7190000000000001
1994,WA,0.465,0.49200000000000005,0.672,0.711
1994,WI,0.49700000000000005,0.502,0.773,0.7809999999999999
1994,WV,0.34,0.342,0.61,0.613
1994,WY,0.635,0.64,0.69,0.695
1996,AK,0.595,0.605,0.755,0.768
1996,AL,0.556,0.563,0.738,0.7490000000000001
1996,AR,0.515,0.519,0.644,0.649
1996,AZ,0.473,0.5429999999999999,0.585,0.672
1996,CA,0.484,0.613,0.561,0.7090000000000001
1996,CO,0.588,0.611,0.7,0.727
1996,CT,0.585,0.623,0.6990000000000001,0.745
1996,DC,0.596,0.635,0.73,0.778
1996,DE,0.547,0.561,0.64,0.657
1996,FL,0.507,0.564,0.618,0.688
1996,GA,0.496,0.509,0.6609999999999999,0.6779999999999999
1996,HI,0.431,0.474,0.551,0.607
1996,IA,0.611,0.63,0.73,0.753
1996,ID,0.601,0.62,0.684,0.705
1996,IL,0.556,0.591,0.677,0.72
1996,IN,0.5579999999999999,0.565,0.685,0.693
1996,KS,0.62,0.634,0.6890000000000001,0.705
1996,KY,0.528,0.53,0.6940000000000001,0.6970000000000001
1996,LA,0.618,0.627,0.7340000000000001,0.745
1996,MA,0.563,0.608,0.667,0.7190000000000001
1996,MD,0.544,0.5720000000000001,0.659,0.6920000000000001
1996,ME,0.677,0.6940000000000001,0.815,0.836
1996,MI,0.581,0.599,0.72,0.742
1996,MN,0.669,0.6890000000000001,0.7829999999999999,0.807
1996,MO,0.611,0.616,0.755,0.762
1996,MS,0.551,0.555,0.716,0.721
1996,MT,0.6729999999999999,0.6809999999999999,0.7509999999999999,0.759
1996,NC,0.54,0.555,0.685,0.703
1996,ND,0.6579999999999999,0.6609999999999999,0.905,0.91
1996,NE,0.61,0.627,0.741,0.7609999999999999
1996,NH,0.601,0.61,0.7170000000000001,0.727
1996,NJ,0.547,0.606,0.633,0.701
1996,NM,0.517,0.555,0.617,0.6629999999999999
1996,NV,0.478,0.5329999999999999,0.59,0.6579999999999999
1996,NY,0.509,0.5870000000000001,0.61,0.7020000000000001
1996,OH,0.5870000000000001,0.596,0.684,0.695
1996,OK,0.585,0.5920000000000001,0.701,0.7090000000000001
1996,OR,0.611,0.636,0.7290000000000001,0.76
1996,PA,0.55,0.564,0.6559999999999999,0.672
1996,RI,0.606,0.643,0.7170000000000001,0.76
1996,SC,0.545,0.547,0.682,0.684
1996,SD,0.643,0.648,0.748,0.754
1996,TN,0.531,0.536,0.659,0.665
